pollutant,run,level,participant_id,replicate,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,-0.017,0.029
co,corrida_1,0-μmol/mol,part_1,2,-0.038,0.023
co,corrida_1,0-μmol/mol,part_1,2,-0.033,0.027
co,corrida_1,0-μmol/mol,part_10,11,-0.011,0.026
co,corrida_1,0-μmol/mol,part_10,11,-0.001,0.017
co,corrida_1,0-μmol/mol,part_10,11,-0.017,0.028
co,corrida_1,0-μmol/mol,part_11,12,-0.011,0.025
co,corrida_1,0-μmol/mol,part_11,12,-0.017,0.029
co,corrida_1,0-μmol/mol,part_11,12,-0.023,0.028
co,corrida_1,0-μmol/mol,part_12,13,-0.028,0.028
co,corrida_1,0-μmol/mol,part_12,13,-0.017,0.028
co,corrida_1,0-μmol/mol,part_12,13,-0.028,0.027
co,corrida_1,0-μmol/mol,part_2,3,-0.006,0.023
co,corrida_1,0-μmol/mol,part_2,3,-0.023,0.029
co,corrida_1,0-μmol/mol,part_2,3,-0.022,0.028
co,corrida_1,0-μmol/mol,part_3,4,-0.006,0.025
co,corrida_1,0-μmol/mol,part_3,4,-0.017,0.028
co,corrida_1,0-μmol/mol,part_3,4,-0.024,0.029
co,corrida_1,0-μmol/mol,part_4,5,-0.018,0.029
co,corrida_1,0-μmol/mol,part_4,5,0.005,0.001
co,corrida_1,0-μmol/mol,part_4,5,-0.022,0.029
co,corrida_1,0-μmol/mol,part_5,6,-0.028,0.027
co,corrida_1,0-μmol/mol,part_5,6,-0.027,0.029
co,corrida_1,0-μmol/mol,part_5,6,-0.022,0.029
co,corrida_1,0-μmol/mol,part_6,7,-0.011,0.027
co,corrida_1,0-μmol/mol,part_6,7,-0.012,0.026
co,corrida_1,0-μmol/mol,part_6,7,-0.033,0.027
co,corrida_1,0-μmol/mol,part_7,8,-0.017,0.028
co,corrida_1,0-μmol/mol,part_7,8,-0.028,0.027
co,corrida_1,0-μmol/mol,part_7,8,-0.018,0.029
co,corrida_1,0-μmol/mol,part_8,9,-0.028,0.029
co,corrida_1,0-μmol/mol,part_8,9,-0.017,0.028
co,corrida_1,0-μmol/mol,part_8,9,-0.023,0.029
co,corrida_1,0-μmol/mol,part_9,10,0.00E+00,0.017
co,corrida_1,0-μmol/mol,part_9,10,-0.007,0.022
co,corrida_1,0-μmol/mol,part_9,10,-0.017,0.028
co,corrida_1,0-μmol/mol,ref,1,-0.024,0.028
co,corrida_1,0-μmol/mol,ref,1,-0.044,0.016
co,corrida_1,0-μmol/mol,ref,1,-0.023,0.029
co,corrida_2,2-μmol/mol,part_1,2,2.015,0.004
co,corrida_2,2-μmol/mol,part_1,2,2.014,0.003
co,corrida_2,2-μmol/mol,part_1,2,2.013,0.005
co,corrida_2,2-μmol/mol,part_10,11,2.014,0.004
co,corrida_2,2-μmol/mol,part_10,11,2.014,0.005
co,corrida_2,2-μmol/mol,part_10,11,2.015,0.006
co,corrida_2,2-μmol/mol,part_11,12,2.013,0.005
co,corrida_2,2-μmol/mol,part_11,12,2.014,0.003
co,corrida_2,2-μmol/mol,part_11,12,2.012,0.004
co,corrida_2,2-μmol/mol,part_12,13,2.017,0.003
co,corrida_2,2-μmol/mol,part_12,13,2.013,0.004
co,corrida_2,2-μmol/mol,part_12,13,2.013,0.005
co,corrida_2,2-μmol/mol,part_2,3,2.011,0.005
co,corrida_2,2-μmol/mol,part_2,3,2.013,0.006
co,corrida_2,2-μmol/mol,part_2,3,2.015,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.012,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.016,0.003
co,corrida_2,2-μmol/mol,part_3,4,2.015,0.004
co,corrida_2,2-μmol/mol,part_4,5,2.014,0.005
co,corrida_2,2-μmol/mol,part_4,5,2.015,0.005
co,corrida_2,2-μmol/mol,part_4,5,2.014,0.004
