participant_id,pollutant,level,x_i,u_i
part_1,co,0-μmol/mol,-0.029231165526666665,0.006514856732863821
part_10,co,0-μmol/mol,-0.009861006288666666,0.004761532060800247
part_11,co,0-μmol/mol,-0.01688788974,0.003326279441594624
part_12,co,0-μmol/mol,-0.024149712296666667,0.003528410166139767
part_2,co,0-μmol/mol,-0.017011106649666666,0.005329855316320043
part_3,co,0-μmol/mol,-0.015680650339666667,0.00498308866048554
part_4,co,0-μmol/mol,-0.011877800080666667,0.008424659557679449
part_5,co,0-μmol/mol,-0.025818613673333334,0.001831422545194277
part_6,co,0-μmol/mol,-0.018731861366666665,0.007206471481776803
part_7,co,0-μmol/mol,-0.02100666399,0.0035565178508799042
part_8,co,0-μmol/mol,-0.022458396896666667,0.0032728064660780096
part_9,co,0-μmol/mol,-0.008028487098666666,0.005034708205131712
part_1,co,2-μmol/mol,2.014030088333333,5.351230524593891e-4
part_10,co,2-μmol/mol,2.014437753333333,4.899553558197494e-4
part_11,co,2-μmol/mol,2.0131557203333332,7.077755962736254e-4
part_12,co,2-μmol/mol,2.0141363423333334,0.0012238883045730842
part_2,co,2-μmol/mol,2.0130586356666664,9.926899048117062e-4
part_3,co,2-μmol/mol,2.014250705333333,0.0014280934277752899
part_4,co,2-μmol/mol,2.014225274,2.554208999286288e-4
part_5,co,2-μmol/mol,2.012287742333333,0.00151443555103428
part_6,co,2-μmol/mol,2.0131983306666665,0.0015337173259677682
part_7,co,2-μmol/mol,2.0142107956666666,7.434641551099864e-4
part_8,co,2-μmol/mol,2.013497356333333,7.691402540553823e-4
part_9,co,2-μmol/mol,2.013383817,0.001274363733435723
part_1,co,4-μmol/mol,4.025622265666667,0.0011720326552618577
part_10,co,4-μmol/mol,4.024411039,0.002655666049504178
part_11,co,4-μmol/mol,4.018896291666667,9.263852252250948e-4
part_12,co,4-μmol/mol,4.022042193333333,9.323015795235632e-4
part_2,co,4-μmol/mol,4.02130829,0.001363593466332721
part_3,co,4-μmol/mol,4.023128853,0.0032055409540722043
part_4,co,4-μmol/mol,4.0184780086666665,0.002404998058799302
part_5,co,4-μmol/mol,4.026503319,4.8539747003473654e-4
part_6,co,4-μmol/mol,4.024743564,0.001813717062130199
part_7,co,4-μmol/mol,4.024889300333333,0.0038819782886914886
part_8,co,4-μmol/mol,4.023339401,0.0010248357604427092
part_9,co,4-μmol/mol,4.023226846666667,9.254564371444323e-4
part_1,co,6-μmol/mol,6.070974658,0.002735113627832739
part_10,co,6-μmol/mol,6.0728602076666665,0.0024120888367066594
part_11,co,6-μmol/mol,6.072181759666667,0.0010998706252607158
part_12,co,6-μmol/mol,6.074947714666667,0.0019158305484794941
part_2,co,6-μmol/mol,6.071507567,0.0016724768829202397
part_3,co,6-μmol/mol,6.0737610423333335,0.0012970334676501451
part_4,co,6-μmol/mol,6.073567227666667,4.6295216124684095e-4
part_5,co,6-μmol/mol,6.072778024,0.0018683891787101468
part_6,co,6-μmol/mol,6.075859127,0.0018177754095055716
part_7,co,6-μmol/mol,6.070921592666666,0.002716640309877687
