pollutant,run,level,participant_id,replicate,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,-0.028,0.028
co,corrida_1,0-μmol/mol,part_1,2,-0.033,0.025
co,corrida_1,0-μmol/mol,part_1,2,-0.028,0.029
co,corrida_1,0-μmol/mol,part_2,3,-0.022,0.028
co,corrida_1,0-μmol/mol,part_2,3,-0.023,0.029
co,corrida_1,0-μmol/mol,part_2,3,-0.018,0.029
co,corrida_1,0-μmol/mol,part_3,4,-0.017,0.028
co,corrida_1,0-μmol/mol,part_3,4,-0.029,0.029
co,corrida_1,0-μmol/mol,part_3,4,-0.029,0.029
co,corrida_1,0-μmol/mol,ref,1,-0.022,0.027
co,corrida_1,0-μmol/mol,ref,1,-0.017,0.027
co,corrida_1,0-μmol/mol,ref,1,-0.017,0.027
co,corrida_2,2-μmol/mol,part_1,2,2.012,0.004
co,corrida_2,2-μmol/mol,part_1,2,2.017,0.003
co,corrida_2,2-μmol/mol,part_1,2,2.011,0.004
co,corrida_2,2-μmol/mol,part_2,3,2.012,0.005
co,corrida_2,2-μmol/mol,part_2,3,2.014,0.003
co,corrida_2,2-μmol/mol,part_2,3,2.014,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.013,0.004
co,corrida_2,2-μmol/mol,part_3,4,2.014,0.005
co,corrida_2,2-μmol/mol,part_3,4,2.012,0.004
co,corrida_2,2-μmol/mol,ref,1,2.014,0.004
co,corrida_2,2-μmol/mol,ref,1,2.012,0.005
co,corrida_2,2-μmol/mol,ref,1,2.014,0.004
co,corrida_3,4-μmol/mol,part_1,2,4.028,0.012
co,corrida_3,4-μmol/mol,part_1,2,4.022,0.014
co,corrida_3,4-μmol/mol,part_1,2,4.023,0.013
co,corrida_3,4-μmol/mol,part_2,3,4.026,0.012
co,corrida_3,4-μmol/mol,part_2,3,4.028,0.013
co,corrida_3,4-μmol/mol,part_2,3,4.028,0.01
co,corrida_3,4-μmol/mol,part_3,4,4.026,0.012
