participant_id,pollutant,level,x_i,u_i
part_1,co,0-μmol/mol,-0.029634644723333336,0.0016492374585792625
part_2,co,0-μmol/mol,-0.02107140372,0.0017105877568751677
part_3,co,0-μmol/mol,-0.024973584906666665,0.0038872310152540425
part_1,co,2-μmol/mol,2.0132981803333334,0.002025499290103422
part_2,co,2-μmol/mol,2.013357489666667,6.343337532670033e-4
part_3,co,2-μmol/mol,2.013033233,3.234587725851041e-4
part_1,co,4-μmol/mol,4.024430389666667,0.0020024613794354796
part_2,co,4-μmol/mol,4.027196623333333,8.210511660960944e-4
part_3,co,4-μmol/mol,4.023603708666666,0.002612828464942125
part_1,co,6-μmol/mol,6.069097769333333,0.0010886721017290847
part_2,co,6-μmol/mol,6.072833511,0.0020770249258483405
part_3,co,6-μmol/mol,6.074550999,0.0026154079990798862
part_1,co,8-μmol/mol,8.024052841666666,0.00439038951177093
part_2,co,8-μmol/mol,8.037595446000001,0.010709977956508606
part_3,co,8-μmol/mol,8.039254646333333,0.016707913511394234
part_1,no,0-nmol/mol,0.5645547138333333,0.006669348995215837
part_2,no,0-nmol/mol,0.5417790403999999,0.02626624291498422
part_3,no,0-nmol/mol,0.5391402357,0.0060327215783119205
part_1,no,121-nmol/mol,120.36376813333334,0.023982168484548132
part_2,no,121-nmol/mol,120.34243743333333,0.01271575120160303
part_3,no,121-nmol/mol,120.36101446666666,0.015314382497545393
part_1,no,122-nmol/mol,40.740003873333336,0.007698065443006949
part_2,no,122-nmol/mol,40.72239535,0.011251679963983265
part_3,no,122-nmol/mol,40.742736433333334,0.0023934898500594707
part_1,no,180-nmol/mol,182.26864543333332,0.035602450034622694
part_2,no,180-nmol/mol,182.3226553,0.03542502276080097
part_3,no,180-nmol/mol,182.23888083333333,0.05202713109728931
part_1,no,181-nmol/mol,180.20358696666668,0.016199797621409915
part_2,no,181-nmol/mol,180.22202896666667,0.00599318298411688
part_3,no,181-nmol/mol,180.21677536666667,0.018243441084881087
part_1,no,182-nmol/mol,75.95678903,0.030377516916026876
part_2,no,182-nmol/mol,76.07594093,0.09002073971658682
part_3,no,182-nmol/mol,76.04132067333333,0.05545346541014176
part_1,no,42-nmol/mol,24.7712451,0.14498275240724623
part_2,no,42-nmol/mol,25.01484706,0.04685525426221669
part_3,no,42-nmol/mol,24.882164706666668,0.0547118384083857
