participant_id,pollutant,level,x_i,u_i
part_1,co,0-μmol/mol,-0.0292311655,0.0393462
part_10,co,0-μmol/mol,-0.0098610063,0.03583816
part_11,co,0-μmol/mol,-0.0168878897,0.04108141
part_12,co,0-μmol/mol,-0.0241497123,0.04177993
part_2,co,0-μmol/mol,-0.0170111066,0.04002332
part_3,co,0-μmol/mol,-0.0156806503,0.041107
part_4,co,0-μmol/mol,-0.0118778001,0.02992199
part_5,co,0-μmol/mol,-0.0258186137,0.04240234
part_6,co,0-μmol/mol,-0.0187318614,0.03957923
part_7,co,0-μmol/mol,-0.021006664,0.04160437
part_8,co,0-μmol/mol,-0.0224583969,0.04265042
part_9,co,0-μmol/mol,-0.0080284871,0.03406855
part_1,co,2-μmol/mol,2.0140300883,0.00636998
part_10,co,2-μmol/mol,2.0144377533,0.00757474
part_11,co,2-μmol/mol,2.0131557203,0.00600838
part_12,co,2-μmol/mol,2.0141363423,0.00617411
part_2,co,2-μmol/mol,2.0130586357,0.00751463
part_3,co,2-μmol/mol,2.0142507053,0.00599297
part_4,co,2-μmol/mol,2.014225274,0.00735787
part_5,co,2-μmol/mol,2.0122877423,0.00557294
part_6,co,2-μmol/mol,2.0131983307,0.00767671
part_7,co,2-μmol/mol,2.0142107957,0.00738648
part_8,co,2-μmol/mol,2.0134973563,0.00816592
part_9,co,2-μmol/mol,2.013383817,0.00624127
part_1,co,4-μmol/mol,4.0256222657,0.01787391
part_10,co,4-μmol/mol,4.024411039,0.01662514
part_11,co,4-μmol/mol,4.0188962917,0.01927269
part_12,co,4-μmol/mol,4.0220421933,0.0185287
part_2,co,4-μmol/mol,4.02130829,0.01751352
part_3,co,4-μmol/mol,4.023128853,0.01768538
part_4,co,4-μmol/mol,4.0184780087,0.01860749
part_5,co,4-μmol/mol,4.026503319,0.01850883
part_6,co,4-μmol/mol,4.024743564,0.01942595
part_7,co,4-μmol/mol,4.0248893003,0.0162109
part_8,co,4-μmol/mol,4.023339401,0.01932704
part_9,co,4-μmol/mol,4.0232268467,0.01967159
part_1,co,6-μmol/mol,6.070974658,0.01927759
part_10,co,6-μmol/mol,6.0728602077,0.02036079
part_11,co,6-μmol/mol,6.0721817597,0.02011782
part_12,co,6-μmol/mol,6.0749477147,0.01994849
part_2,co,6-μmol/mol,6.071507567,0.01932219
part_3,co,6-μmol/mol,6.0737610423,0.02001024
part_4,co,6-μmol/mol,6.0735672277,0.02091769
part_5,co,6-μmol/mol,6.072778024,0.01974455
part_6,co,6-μmol/mol,6.075859127,0.01762898
part_7,co,6-μmol/mol,6.0709215927,0.01898312
part_8,co,6-μmol/mol,6.073094677,0.01908103
part_9,co,6-μmol/mol,6.0695802407,0.02035007
part_1,co,8-μmol/mol,8.020712731,0.08702954
part_10,co,8-μmol/mol,8.041648984,0.0727347
part_11,co,8-μmol/mol,8.0290463767,0.08898932
part_12,co,8-μmol/mol,8.0685512007,0.06913177
part_2,co,8-μmol/mol,8.0533630717,0.08276202
part_3,co,8-μmol/mol,8.0481835747,0.08761141
part_4,co,8-μmol/mol,8.0520806197,0.09353011
part_5,co,8-μmol/mol,8.028204639,0.08838455
part_6,co,8-μmol/mol,8.0664365513,0.07689404
part_7,co,8-μmol/mol,8.0316502913,0.08904183
part_8,co,8-μmol/mol,8.034189997,0.09132872
part_9,co,8-μmol/mol,8.0374546673,0.08752599
part_1,no,0-nmol/mol,0.5746717172,0.1952384
part_10,no,0-nmol/mol,0.5869064815,0.19683626
part_11,no,0-nmol/mol,0.5330488215,0.1783532
part_12,no,0-nmol/mol,0.5475881313,0.19843973
part_2,no,0-nmol/mol,0.568596633,0.22164015
part_3,no,0-nmol/mol,0.5548740741,0.16821417
part_4,no,0-nmol/mol,0.6031449495,0.23016356
part_5,no,0-nmol/mol,0.5689398148,0.19484697
part_6,no,0-nmol/mol,0.5738476431,0.18211277
part_7,no,0-nmol/mol,0.5696527778,0.2277433
part_8,no,0-nmol/mol,0.5978232323,0.19929959
part_9,no,0-nmol/mol,0.577045202,0.22963815
part_1,no,121-nmol/mol,120.3325691667,0.09520354
part_10,no,121-nmol/mol,120.3507378,0.10381561
part_11,no,121-nmol/mol,120.3543478333,0.10554014
part_12,no,121-nmol/mol,120.3334519,0.12891336
part_2,no,121-nmol/mol,120.3350066,0.10588315
part_3,no,121-nmol/mol,120.3446245,0.09559693
part_4,no,121-nmol/mol,120.3343741333,0.12313759
part_5,no,121-nmol/mol,120.3487747,0.0998579
part_6,no,121-nmol/mol,120.3569828667,0.10245977
part_7,no,121-nmol/mol,120.3460211,0.11428758
part_8,no,121-nmol/mol,120.3550065667,0.082317
part_9,no,121-nmol/mol,120.3457049,0.12271536
part_1,no,122-nmol/mol,40.7302093,0.08822239
part_10,no,122-nmol/mol,40.7259379833,0.08029747
part_11,no,122-nmol/mol,40.73594961,0.07315569
part_12,no,122-nmol/mol,40.7166976767,0.08494229
part_2,no,122-nmol/mol,40.7230891433,0.0606816
part_3,no,122-nmol/mol,40.73635659,0.07262312
part_4,no,122-nmol/mol,40.7490891467,0.05998097
part_5,no,122-nmol/mol,40.7282906967,0.07087329
part_6,no,122-nmol/mol,40.7275077533,0.06841684
part_7,no,122-nmol/mol,40.7411395367,0.05520386
part_8,no,122-nmol/mol,40.7266782967,0.08180612
part_9,no,122-nmol/mol,40.7234224767,0.06985555
part_1,no,180-nmol/mol,182.1980011,0.37150605
part_10,no,180-nmol/mol,182.2437330667,0.37821649
part_11,no,180-nmol/mol,182.3080447667,0.37610442
part_12,no,180-nmol/mol,182.3333498333,0.38348077
part_2,no,180-nmol/mol,182.2320957,0.36467406
part_3,no,180-nmol/mol,182.1873964,0.39101437
part_4,no,180-nmol/mol,182.2910627,0.36593316
part_5,no,180-nmol/mol,182.2531213667,0.33511608
part_6,no,180-nmol/mol,182.1984004333,0.35221857
part_7,no,180-nmol/mol,182.1791719667,0.355988
part_8,no,180-nmol/mol,182.2681807667,0.36481865
part_9,no,180-nmol/mol,182.2531958,0.341254
part_1,no,181-nmol/mol,180.1953623333,0.14186599
part_10,no,181-nmol/mol,180.1789854667,0.09699168
part_11,no,181-nmol/mol,180.2100724667,0.09590632
part_12,no,181-nmol/mol,180.2046739333,0.12816419
part_2,no,181-nmol/mol,180.2078260667,0.12473057
part_3,no,181-nmol/mol,180.1869565333,0.11793972
part_4,no,181-nmol/mol,180.1972463667,0.09694761
part_5,no,181-nmol/mol,180.1790579667,0.11603888
part_6,no,181-nmol/mol,180.1630072667,0.12768753
part_7,no,181-nmol/mol,180.2027174,0.12477501
part_8,no,181-nmol/mol,180.1930435,0.12063881
part_9,no,181-nmol/mol,180.2079347667,0.11234097999999999
part_1,no,182-nmol/mol,76.1397468333,0.43690597
part_10,no,182-nmol/mol,75.95314346,0.55540188
part_11,no,182-nmol/mol,76.2548354433,0.51567566
part_12,no,182-nmol/mol,76.04007173,0.41439158
part_2,no,182-nmol/mol,76.1724683533,0.46595222
