"pollutant","level","replicate","participant_id","sample_id","value"
"co","0-ppm",1,"ref",1,-0.0487547169811321
"co","0-ppm",1,"ref",2,0.00312765957446809
"co","0-ppm",1,"ref",3,-0.044622641509434
"co","0-ppm",1,"ref",4,0.00446808510638298
"co","0-ppm",1,"ref",5,0.00542553191489362
"co","0-ppm",1,"ref",6,-0.0501320754716981
"co","0-ppm",1,"ref",7,-0.0486037735849057
"co","0-ppm",1,"ref",8,-0.0464716981132075
"co","0-ppm",1,"ref",9,0.00419148936170213
"co","0-ppm",1,"ref",10,0.0044468085106383
"co","0-ppm",2,"part_1",1,-0.0484150943396226
"co","0-ppm",2,"part_1",2,0.00353191489361702
"co","0-ppm",2,"part_1",3,-0.0482075471698113
"co","0-ppm",2,"part_1",4,-0.0503962264150943
"co","0-ppm",2,"part_1",5,0.00378723404255319
"co","0-ppm",2,"part_1",6,-0.0476792452830189
"co","0-ppm",2,"part_1",7,0.00636170212765957
"co","0-ppm",2,"part_1",8,0.00331914893617021
"co","0-ppm",2,"part_1",9,0.00417021276595745
"co","0-ppm",2,"part_1",10,0.00463829787234043
"co","0-ppm",3,"part_2",1,0.00374468085106383
"co","0-ppm",3,"part_2",2,-0.0492452830188679
"co","0-ppm",3,"part_2",3,0.00423404255319149
"co","0-ppm",3,"part_2",4,0.00408510638297872
"co","0-ppm",3,"part_2",5,0.00651063829787234
"co","0-ppm",3,"part_2",6,-0.0520754716981132
"co","0-ppm",3,"part_2",7,0.00334042553191489
"co","0-ppm",3,"part_2",8,-0.0437547169811321
"co","0-ppm",3,"part_2",9,0.0044468085106383
"co","0-ppm",3,"part_2",10,-0.0476415094339623
"co","0-ppm",4,"part_3",1,-0.0491509433962264
"co","0-ppm",4,"part_3",2,0.00478723404255319
"co","0-ppm",4,"part_3",3,-0.0475471698113208
"co","0-ppm",4,"part_3",4,-0.0513962264150943
"co","0-ppm",4,"part_3",5,0.00553191489361702
"co","0-ppm",4,"part_3",6,0.00478723404255319
"co","0-ppm",4,"part_3",7,-0.0532075471698113
"co","0-ppm",4,"part_3",8,0.00380851063829787
"co","0-ppm",4,"part_3",9,-0.0504716981132075
"co","0-ppm",4,"part_3",10,-0.0469811320754717
"co","2-ppm",1,"ref",1,2.00918181818182
"co","2-ppm",1,"ref",2,2.01073737373737
"co","2-ppm",1,"ref",3,2.01882978723404
"co","2-ppm",1,"ref",4,2.00693939393939
"co","2-ppm",1,"ref",5,2.01236363636364
"co","2-ppm",1,"ref",6,2.00834343434343
"co","2-ppm",1,"ref",7,2.01882978723404
"co","2-ppm",1,"ref",8,2.00846464646465
"co","2-ppm",1,"ref",9,2.01256565656566
"co","2-ppm",1,"ref",10,2.01797872340426
"co","2-ppm",2,"part_1",1,2.01904255319149
"co","2-ppm",2,"part_1",2,2.01024242424242
"co","2-ppm",2,"part_1",3,2.0213829787234
"co","2-ppm",2,"part_1",4,2.01147474747475
"co","2-ppm",2,"part_1",5,2.01142424242424
"co","2-ppm",2,"part_1",6,2.01202127659574
"co","2-ppm",2,"part_1",7,2.0149595959596
"co","2-ppm",2,"part_1",8,2.01882978723404
"co","2-ppm",2,"part_1",9,2.00954545454545
"co","2-ppm",2,"part_1",10,2.00954545454545
"co","2-ppm",3,"part_2",1,2.01221212121212
"co","2-ppm",3,"part_2",2,2.01765957446809
"co","2-ppm",3,"part_2",3,2.01183838383838
"co","2-ppm",3,"part_2",4,2.01797872340426
"co","2-ppm",3,"part_2",5,2.01513131313131
"co","2-ppm",3,"part_2",6,2.01255319148936
"co","2-ppm",3,"part_2",7,2.0050303030303
"co","2-ppm",3,"part_2",8,2.01670212765957
"co","2-ppm",3,"part_2",9,2.01157575757576
"co","2-ppm",3,"part_2",10,2.01393617021277
"co","2-ppm",4,"part_3",1,2.01154545454545
"co","2-ppm",4,"part_3",2,2.01456565656566
"co","2-ppm",4,"part_3",3,2.01670212765957
"co","2-ppm",4,"part_3",4,2.01568686868687
"co","2-ppm",4,"part_3",5,2.01659574468085
"co","2-ppm",4,"part_3",6,2.01755319148936
"co","2-ppm",4,"part_3",7,2.02063829787234
"co","2-ppm",4,"part_3",8,2.00846464646465
"co","2-ppm",4,"part_3",9,2.01074747474747
