"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"so2","0-ppb","part_1",2,"1-10",0.0558490566037736,0.0338362441833358
"so2","0-ppb","part_1",2,"11-20",0.0911320754716982,0.040261889401061
"so2","0-ppb","part_1",2,"21-30",0.0415094339622641,0.0504714532018587
"so2","0-ppb","part_2",3,"1-10",0.0405660377358491,0.0419289832276926
"so2","0-ppb","part_2",3,"11-20",0.0409433962264151,0.0407792650659288
"so2","0-ppb","part_2",3,"21-30",0.0324528301886792,0.0535426650175029
"so2","0-ppb","part_3",4,"1-10",0.0592452830188679,0.0484742078143308
"so2","0-ppb","part_3",4,"11-20",0.0315094339622642,0.0235332768239542
"so2","0-ppb","part_3",4,"21-30",0.0747169811320754,0.0462612712466584
"so2","0-ppb","part_4",5,"1-10",0.0592452830188679,0.0324884013527836
"so2","0-ppb","part_4",5,"11-20",0.0692452830188679,0.0301368790385666
"so2","0-ppb","part_4",5,"21-30",0.0728301886792453,0.0532344520643791
"so2","0-ppb","part_5",6,"1-10",0.0715094339622641,0.0262867501990462
"so2","0-ppb","part_5",6,"11-20",0.0554716981132075,0.048204172651198
"so2","0-ppb","part_5",6,"21-30",0.059433962264151,0.0517885481185714
"so2","0-ppb","part_6",7,"1-10",0.0237735849056604,0.0453807470938461
"so2","0-ppb","part_6",7,"11-20",0.0356603773584905,0.0438220833047303
"so2","0-ppb","part_6",7,"21-30",0.0483018867924528,0.0535825434268344
"so2","0-ppb","ref",1,"1-10",0.0711320754716981,0.0629939442799133
"so2","0-ppb","ref",1,"11-20",0.039433962264151,0.0454438966133962
"so2","0-ppb","ref",1,"21-30",0.0588679245283019,0.0340762122915079
"so2","100-ppb","part_1",2,"1-10",99.4872445157838,0.607587220951016
"so2","100-ppb","part_1",2,"11-20",99.5448889780631,0.539033950845169
"so2","100-ppb","part_1",2,"21-30",99.6300575173889,0.561127147006081
"so2","100-ppb","part_2",3,"1-10",99.7444074371322,0.528755633667658
"so2","100-ppb","part_2",3,"11-20",99.5162627073302,0.585179298899589
"so2","100-ppb","part_2",3,"21-30",99.7044154628144,0.526667953278423
"so2","100-ppb","part_3",4,"1-10",99.5023796147673,0.57188417882796
"so2","100-ppb","part_3",4,"11-20",99.7443619582663,0.54915445609907
"so2","100-ppb","part_3",4,"21-30",99.6112479935795,0.586058759799065
"so2","100-ppb","part_4",5,"1-10",99.7270024077046,0.522620081321612
"so2","100-ppb","part_4",5,"11-20",99.5097846441947,0.612054620338495
"so2","100-ppb","part_4",5,"21-30",99.5265208667737,0.598365268249718
"so2","100-ppb","part_5",6,"1-10",99.5991479400749,0.5864867024154
"so2","100-ppb","part_5",6,"11-20",99.5147271268058,0.581331842348894
"so2","100-ppb","part_5",6,"21-30",99.5181005885501,0.607325366643424
"so2","100-ppb","part_6",7,"1-10",99.2699050294275,0.54240065246286
"so2","100-ppb","part_6",7,"11-20",99.5123060460139,0.561943891134857
"so2","100-ppb","part_6",7,"21-30",99.4880965757089,0.584132466534386
"so2","100-ppb","ref",1,"1-10",99.4869234884966,0.596101483593456
"so2","100-ppb","ref",1,"11-20",99.1726123595506,0.451325593048968
"so2","100-ppb","ref",1,"21-30",99.4129347244515,0.551264303689641
"so2","140-ppb","part_1",2,"1-10",139.02120237634,0.488904974164942
"so2","140-ppb","part_1",2,"11-20",139.016755779414,0.470436893840461
"so2","140-ppb","part_1",2,"21-30",139.193688492832,0.465268481803558
"so2","140-ppb","part_2",3,"1-10",139.406524602867,0.374102754316981
"so2","140-ppb","part_2",3,"11-20",139.370349993543,0.384621250806851
"so2","140-ppb","part_2",3,"21-30",139.297945240863,0.498459808476399
"so2","140-ppb","part_3",4,"1-10",139.193144775927,0.483595687387407
"so2","140-ppb","part_3",4,"11-20",139.013554177967,0.459366255335118
"so2","140-ppb","part_3",4,"21-30",138.997570709028,0.480762394509479
"so2","140-ppb","part_4",5,"1-10",139.189553144776,0.515063026138781
"so2","140-ppb","part_4",5,"11-20",139.355605062637,0.431856922518104
"so2","140-ppb","part_4",5,"21-30",139.092165827199,0.481953160226611
"so2","140-ppb","part_5",6,"1-10",139.079036549141,0.513099058157042
"so2","140-ppb","part_5",6,"11-20",139.105328683973,0.502336890488441
"so2","140-ppb","part_5",6,"21-30",139.10636445822,0.50945951272793
"so2","140-ppb","part_6",7,"1-10",139.10139997417,0.503186383497888
"so2","140-ppb","part_6",7,"11-20",139.039256102286,0.489437229446288
"so2","140-ppb","part_6",7,"21-30",139.111959188945,0.476544279030728
"so2","140-ppb","ref",1,"1-10",139.111020276379,0.492918246975644
"so2","140-ppb","ref",1,"11-20",139.100188557407,0.470443811180527
"so2","140-ppb","ref",1,"21-30",138.887699857936,0.462193335019116
"so2","180-ppb","part_1",2,"1-10",180.413382320684,0.419391559251312
"so2","180-ppb","part_1",2,"11-20",180.763063171748,0.403808614865638
"so2","180-ppb","part_1",2,"21-30",180.840961833735,0.283267348159563
"so2","180-ppb","part_2",3,"1-10",180.530643781531,0.444948240851784
"so2","180-ppb","part_2",3,"11-20",180.530320245668,0.40906402696704
"so2","180-ppb","part_2",3,"21-30",180.384884843167,0.291603590843082
"so2","180-ppb","part_3",4,"1-10",180.427333845142,0.337706371039986
"so2","180-ppb","part_3",4,"11-20",180.434113840755,0.411661270320844
"so2","180-ppb","part_3",4,"21-30",180.315616363237,0.414458292041901
"so2","180-ppb","part_4",5,"1-10",180.564986839219,0.453391843612884
"so2","180-ppb","part_4",5,"11-20",180.697255977188,0.401250127989384
"so2","180-ppb","part_4",5,"21-30",180.370066900636,0.440165504620675
"so2","180-ppb","part_5",6,"1-10",180.471026540908,0.375702622348674
"so2","180-ppb","part_5",6,"11-20",180.823198069752,0.292435390971697
"so2","180-ppb","part_5",6,"21-30",180.618179425312,0.469942614365517
"so2","180-ppb","part_6",7,"1-10",180.920103092784,0.116874110195214
"so2","180-ppb","part_6",7,"11-20",180.514230094319,0.411239355781496
"so2","180-ppb","part_6",7,"21-30",180.517911822768,0.428066717342482
"so2","180-ppb","ref",1,"1-10",180.538937266945,0.440846354424127
"so2","180-ppb","ref",1,"11-20",180.694086422461,0.384979411869314
"so2","180-ppb","ref",1,"21-30",180.607020179864,0.415811111899388
"so2","20-ppb","part_1",2,"1-10",19.7262352941176,0.0299739730749721
"so2","20-ppb","part_1",2,"11-20",19.7384705882353,0.0380697269993081
"so2","20-ppb","part_1",2,"21-30",19.7275294117647,0.03254760214251
"so2","20-ppb","part_2",3,"1-10",19.7292941176471,0.0450842263586732
"so2","20-ppb","part_2",3,"11-20",19.7275294117647,0.0287170234460474
"so2","20-ppb","part_2",3,"21-30",19.7376470588235,0.0369460885123701
"so2","20-ppb","part_3",4,"1-10",19.7118823529412,0.0266750275243818
"so2","20-ppb","part_3",4,"11-20",19.7238823529412,0.0337074735277898
"so2","20-ppb","part_3",4,"21-30",19.7348235294118,0.0513447013281819
"so2","20-ppb","part_4",5,"1-10",19.7218823529412,0.036465106060666
"so2","20-ppb","part_4",5,"11-20",19.7210588235294,0.0474443359470427
