"pollutant","level","replicate","participant_id","sample_id","value"
"co","0-ppm",1,"ref",1,-0.0507924528301887
"co","0-ppm",1,"ref",2,-0.0484716981132075
"co","0-ppm",1,"ref",3,0.00706382978723404
"co","0-ppm",1,"ref",4,-0.0510566037735849
"co","0-ppm",1,"ref",5,0.00502127659574468
"co","0-ppm",1,"ref",6,0.00817021276595745
"co","0-ppm",1,"ref",7,0.00221276595744681
"co","0-ppm",1,"ref",8,-0.0515283018867925
"co","0-ppm",1,"ref",9,0.00319148936170213
"co","0-ppm",1,"ref",10,0.0035531914893617
"co","0-ppm",2,"part_1",1,-0.050377358490566
"co","0-ppm",2,"part_1",2,0.00506382978723404
"co","0-ppm",2,"part_1",3,-0.0517358490566038
"co","0-ppm",2,"part_1",4,-0.0493207547169811
"co","0-ppm",2,"part_1",5,-0.0503584905660377
"co","0-ppm",2,"part_1",6,0.00508510638297872
"co","0-ppm",2,"part_1",7,-0.0487924528301887
"co","0-ppm",2,"part_1",8,0.0035531914893617
"co","0-ppm",2,"part_1",9,0.00534042553191489
"co","0-ppm",2,"part_1",10,0.00319148936170213
"co","0-ppm",3,"part_2",1,-0.0516415094339623
"co","0-ppm",3,"part_2",2,-0.0475471698113208
"co","0-ppm",3,"part_2",3,-0.0501132075471698
"co","0-ppm",3,"part_2",4,-0.0483962264150943
"co","0-ppm",3,"part_2",5,0.00882978723404255
"co","0-ppm",3,"part_2",6,-0.044622641509434
"co","0-ppm",3,"part_2",7,0.00459574468085106
"co","0-ppm",3,"part_2",8,0.00302127659574468
"co","0-ppm",3,"part_2",9,-0.0502830188679245
"co","0-ppm",3,"part_2",10,-0.0502264150943396
"co","0-ppm",4,"part_3",1,0.00212765957446809
"co","0-ppm",4,"part_3",2,-0.0514905660377359
"co","0-ppm",4,"part_3",3,-0.0487547169811321
"co","0-ppm",4,"part_3",4,-0.0490377358490566
"co","0-ppm",4,"part_3",5,0.00587234042553191
"co","0-ppm",4,"part_3",6,0.00304255319148936
"co","0-ppm",4,"part_3",7,-0.0521320754716981
"co","0-ppm",4,"part_3",8,-0.0511132075471698
"co","0-ppm",4,"part_3",9,-0.0495849056603774
"co","0-ppm",4,"part_3",10,0.00634042553191489
"co","0-ppm",5,"part_4",1,-0.0518301886792453
"co","0-ppm",5,"part_4",2,0.00442553191489362
"co","0-ppm",5,"part_4",3,0.0045531914893617
"co","0-ppm",5,"part_4",4,0.00587234042553191
"co","0-ppm",5,"part_4",5,-0.0507547169811321
"co","0-ppm",5,"part_4",6,0.00359574468085106
"co","0-ppm",5,"part_4",7,0.00478723404255319
"co","0-ppm",5,"part_4",8,0.00353191489361702
"co","0-ppm",5,"part_4",9,0.00240425531914894
"co","0-ppm",5,"part_4",10,-0.0488867924528302
"co","0-ppm",6,"part_5",1,-0.0483018867924528
"co","0-ppm",6,"part_5",2,-0.0477735849056604
"co","0-ppm",6,"part_5",3,-0.0463962264150943
"co","0-ppm",6,"part_5",4,-0.0525283018867925
"co","0-ppm",6,"part_5",5,0.00417021276595745
"co","0-ppm",6,"part_5",6,-0.0504150943396226
"co","0-ppm",6,"part_5",7,-0.0510943396226415
"co","0-ppm",6,"part_5",8,-0.0507735849056604
"co","0-ppm",6,"part_5",9,-0.0460943396226415
"co","0-ppm",6,"part_5",10,-0.0526981132075472
"co","0-ppm",7,"part_6",1,-0.0501320754716981
"co","0-ppm",7,"part_6",2,-0.0493584905660377
"co","0-ppm",7,"part_6",3,0.00436170212765957
"co","0-ppm",7,"part_6",4,-0.0481509433962264
"co","0-ppm",7,"part_6",5,0.00374468085106383
"co","0-ppm",7,"part_6",6,0.00382978723404255
"co","0-ppm",7,"part_6",7,0.00359574468085106
