"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,0.0818205461638492,-0.112535760728218,0.323094928478544,1.11253576072822
"2",2,2,-0.0282314694408323,-0.0231079323797139,0.649553532726485,2.02823146944083
"3",3,3,0.337808988764045,0.334325842696629,1.22404494382022,2.66567415730337
"4",4,4,-0.0471001300390117,0.00416124837451235,1.3190203727785,4.04710013003901
"5",5,5,0.0396098829648895,0.051001300390117,1.69687039445167,4.96039011703511
"6",6,6,-0.0141352405721716,-0.0616905071521456,1.97472475075856,6.06169050715215
"7",7,7,-0.00534460338101431,-0.0546163849154746,2.3133463372345,7.05461638491547
"8",8,8,-0.00697009102730819,0.182548764629389,2.72519289120069,8.00697009102731
"9",9,9,0.244269662921348,-0.140208062418726,3.03468720016754,9.14020806241873
"10",10,10,-0.0428088426527958,0.245393258426966,3.40086147192472,10.0428088426528
