"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","no","181-ppb","part_1",2,"1-10",180.203913043478,0.0504734983835363,7
"2","no","181-ppb","part_1",2,"11-20",180.192934782609,0.0743243917356963,7
"3","no","181-ppb","part_1",2,"21-30",180.170326086957,0.0735713364421621,7
"4","no","181-ppb","part_2",3,"1-10",180.171847826087,0.0660463619601784,7
"5","no","181-ppb","part_2",3,"11-20",180.198152173913,0.0797793671762907,7
"6","no","181-ppb","part_2",3,"21-30",180.1925,0.0688757537903215,7
"7","no","181-ppb","part_3",4,"1-10",180.201304347826,0.0688745149004681,7
"8","no","181-ppb","part_3",4,"11-20",180.170652173913,0.0619363896438794,7
"9","no","181-ppb","part_3",4,"21-30",180.184673913043,0.0746226416533844,7
"10","no","181-ppb","part_4",5,"1-10",180.219239130435,0.0756145618368384,7
"11","no","181-ppb","part_4",5,"11-20",180.200217391304,0.0598315565974332,7
"12","no","181-ppb","part_4",5,"21-30",180.232282608696,0.0473877862898529,7
"13","no","181-ppb","part_5",6,"1-10",180.204782608696,0.0782125454669876,7
"14","no","181-ppb","part_5",6,"11-20",180.171086956522,0.0869115221729664,7
"15","no","181-ppb","part_5",6,"21-30",180.204673913044,0.0834514758003413,7
"16","no","181-ppb","part_6",7,"1-10",180.213478260869,0.0643668368575373,7
"17","no","181-ppb","part_6",7,"11-20",180.157282608696,0.0670946603445676,7
"18","no","181-ppb","part_6",7,"21-30",180.181630434783,0.0600913197447957,7
"19","no","181-ppb","ref",1,"1-10",180.246304347826,0.0853415860257937,7
"20","no","181-ppb","ref",1,"11-20",180.168369565217,0.113550343127136,7
"21","no","181-ppb","ref",1,"21-30",180.251086956522,0.0952464495839973,7
