"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","no","42-ppb","part_1",2,"1-10",24.929394117647,1.19640581249261,7
"2","no","42-ppb","part_1",2,"11-20",25.1012294117647,1.08125029065517,7
"3","no","42-ppb","part_1",2,"21-30",24.8702882352941,1.35586078228484,7
"4","no","42-ppb","part_2",3,"1-10",24.2443764705882,1.11536336524222,7
"5","no","42-ppb","part_2",3,"11-20",24.9737294117647,0.902816545527879,7
"6","no","42-ppb","part_2",3,"21-30",24.638294117647,0.971118769242662,7
"7","no","42-ppb","part_3",4,"1-10",25.1489588235294,1.08871880834173,7
"8","no","42-ppb","part_3",4,"11-20",25.2491529411765,0.684016879939041,7
"9","no","42-ppb","part_3",4,"21-30",25.0926823529412,1.33625891096155,7
"10","no","42-ppb","part_4",5,"1-10",24.8326882352941,1.20300646132194,7
"11","no","42-ppb","part_4",5,"11-20",24.8406705882353,1.23840603924217,7
"12","no","42-ppb","part_4",5,"21-30",25.1054941176471,1.36946345532788,7
"13","no","42-ppb","part_5",6,"1-10",25.2498117647059,0.845908801662732,7
"14","no","42-ppb","part_5",6,"11-20",24.6595352941176,0.956305723617815,7
"15","no","42-ppb","part_5",6,"21-30",24.6533647058823,1.05086054072255,7
"16","no","42-ppb","part_6",7,"1-10",25.0368764705882,0.954926672164862,7
"17","no","42-ppb","part_6",7,"11-20",24.0869176470588,0.65391950918335,7
"18","no","42-ppb","part_6",7,"21-30",25.0457411764706,0.796967079687318,7
"19","no","42-ppb","ref",1,"1-10",24.4251882352941,1.4344879086334,7
"20","no","42-ppb","ref",1,"11-20",24.6932235294118,1.1921537389665,7
"21","no","42-ppb","ref",1,"21-30",24.9766058823529,1.05406200507106,7
