"Pollutant","Level","Items","Replicates","sigma_pt","u_xpt","ss","sw","c_criterion","c_criterion_expanded","Meets_Criterion","Meets_Expanded","Conclusion"
"co","0-ppm",10,3,0.0412,0.0163,2.957,4.4192,0.0124,4.4412,"No","Yes","ss (2.9570) > c_criterion (0.0124): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9570) <= c_expanded (4.4412): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","2-ppm",10,3,0.0053,0.0021,2.0229,3.1965,0.0016,3.2124,"No","Yes","ss (2.0229) > c_criterion (0.0016): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.0229) <= c_expanded (3.2124): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","4-ppm",10,3,0.0112,0.0044,1.2698,2.2909,0.0034,2.3023,"No","Yes","ss (1.2698) > c_criterion (0.0034): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (1.2698) <= c_expanded (2.3023): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","6-ppm",10,3,0.006,0.0024,1.0616,2.0729,0.0018,2.0832,"No","Yes","ss (1.0616) > c_criterion (0.0018): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (1.0616) <= c_expanded (2.0832): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","8-ppm",10,3,0.0188,0.0074,1.6478,2.7246,0.0056,2.7382,"No","Yes","ss (1.6478) > c_criterion (0.0056): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (1.6478) <= c_expanded (2.7382): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no","0-ppb",10,3,0.069,0.0273,2.7077,4.0789,0.0207,4.0994,"No","Yes","ss (2.7077) > c_criterion (0.0207): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.7077) <= c_expanded (4.0994): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no","121-ppb",10,3,0.0425,0.0168,57.4505,81.2597,0.0127,81.665,"No","Yes","ss (57.4505) > c_criterion (0.0127): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (57.4505) <= c_expanded (81.6650): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no","180-ppb",10,3,0.1211,0.0479,88.4843,125.1438,0.0363,125.7679,"No","Yes","ss (88.4843) > c_criterion (0.0363): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (88.4843) <= c_expanded (125.7679): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no","42-ppb",10,3,1.0612,0.4195,10.0755,14.3371,0.3184,14.4152,"No","Yes","ss (10.0755) > c_criterion (0.3184): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (10.0755) <= c_expanded (14.4152): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no","81-ppb",10,3,0.0391,0.0154,37.6254,53.229,0.0117,53.4945,"No","Yes","ss (37.6254) > c_criterion (0.0117): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (37.6254) <= c_expanded (53.4945): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no2","0-ppb",10,3,0.0575,0.0227,2.9464,4.4072,0.0173,4.4292,"No","Yes","ss (2.9464) > c_criterion (0.0173): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9464) <= c_expanded (4.4292): CUMPLE CRITERIO EXP HOMOGENEIDAD"
