"Score","Criteria","co","no","no2","o3","so2"
"z-score","Satisfactory",30,30,30,25,29
"z-score","Questionable",0,0,0,1,1
"z-score","Unsatisfactory",0,0,0,4,0
"z-score","N/A",0,0,0,0,0
"z'-score","Satisfactory",30,30,30,25,29
"z'-score","Questionable",0,0,0,3,1
"z'-score","Unsatisfactory",0,0,0,2,0
"z'-score","N/A",0,0,0,0,0
"zeta-score","Satisfactory",30,30,30,30,30
"zeta-score","Questionable",0,0,0,0,0
"zeta-score","Unsatisfactory",0,0,0,0,0
"zeta-score","N/A",0,0,0,0,0
"En-score","Satisfactory",30,30,30,30,30
"En-score","Questionable",0,0,0,0,0
"En-score","Unsatisfactory",0,0,0,0,0
"En-score","N/A",0,0,0,0,0
