"pollutant","level","replicate","participant_id","sample_id","value"
"co","0-ppm",1,"ref",1,0.159559633027523
"co","0-ppm",1,"ref",2,-0.0497735849056604
"co","0-ppm",1,"ref",3,0.116348623853211
"co","0-ppm",1,"ref",4,0.102963302752294
"co","0-ppm",1,"ref",5,0.116348623853211
"co","0-ppm",1,"ref",6,0.159559633027523
"co","0-ppm",1,"ref",7,-0.0485660377358491
"co","0-ppm",1,"ref",8,0.0590091743119266
"co","0-ppm",1,"ref",9,-0.0514339622641509
"co","0-ppm",1,"ref",10,-0.0495471698113208
"co","0-ppm",1,"ref",11,0.030394495412844
"co","0-ppm",1,"ref",12,0.0221009174311927
"co","0-ppm",1,"ref",13,0.0448623853211009
"co","0-ppm",1,"ref",14,-0.0517735849056604
"co","0-ppm",1,"ref",15,-0.0503584905660377
"co","0-ppm",1,"ref",16,-0.0506981132075472
"co","0-ppm",1,"ref",17,-0.0476981132075472
"co","0-ppm",1,"ref",18,-0.0528301886792453
"co","0-ppm",1,"ref",19,-0.0525849056603774
"co","0-ppm",1,"ref",20,0.0838990825688073
"co","0-ppm",1,"ref",21,0.122495412844037
"co","0-ppm",1,"ref",22,-0.0485094339622642
"co","0-ppm",1,"ref",23,0.0265871559633028
"co","0-ppm",1,"ref",24,-0.0516792452830189
"co","0-ppm",1,"ref",25,0.147926605504587
"co","0-ppm",1,"ref",26,-0.049811320754717
"co","0-ppm",1,"ref",27,0.030394495412844
"co","0-ppm",1,"ref",28,-0.0496037735849057
"co","0-ppm",1,"ref",29,0.105412844036697
"co","0-ppm",1,"ref",30,0.101550458715596
"co","0-ppm",2,"part_1",1,0.101697247706422
"co","0-ppm",2,"part_1",2,0.067954128440367
"co","0-ppm",2,"part_1",3,-0.0517735849056604
"co","0-ppm",2,"part_1",4,0.0590091743119266
"co","0-ppm",2,"part_1",5,-0.0496037735849057
"co","0-ppm",2,"part_1",6,0.0896788990825688
"co","0-ppm",2,"part_1",7,0.0778348623853211
"co","0-ppm",2,"part_1",8,0.0728256880733945
"co","0-ppm",2,"part_1",9,-0.0485660377358491
"co","0-ppm",2,"part_1",10,0.131100917431193
"co","0-ppm",2,"part_1",11,0.0539266055045872
"co","0-ppm",2,"part_1",12,0.033697247706422
"co","0-ppm",2,"part_1",13,-0.0503584905660377
"co","0-ppm",2,"part_1",14,-0.0528679245283019
"co","0-ppm",2,"part_1",15,0.119495412844037
"co","0-ppm",2,"part_1",16,0.119495412844037
"co","0-ppm",2,"part_1",17,-0.0475471698113208
"co","0-ppm",2,"part_1",18,-0.0504150943396226
"co","0-ppm",2,"part_1",19,-0.0508301886792453
"co","0-ppm",2,"part_1",20,0.0599633027522936
