level,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20
0-ppb,-0.972591194968554,-0.943830188679245,-1.0070251572327,-1.00823270440252,-1.03160377358491,-1.01176729559748,-1.0376855345912,-0.980842767295597,-1.05320754716981,-1.02594339622642,-0.979125786163522,-0.974584905660377,-1.0100251572327,-0.981220125786163,-0.968704402515723,-1.04284905660377,-1.0101320754717,-0.930578616352201,-1.01866037735849,-0.979245283018868
0-ppb,-0.974308176100629,-1.09023270440252,-1.00023899371069,-0.960861635220126,-0.965201257861635,-1.00084905660377,-0.963150943396226,-1.03841509433962,-0.998603773584906,-0.984182389937107,-0.997943396226415,-0.965672955974843,-1.00898113207547,-0.956584905660377,-0.99837106918239,-1.03418867924528,-1.01749685534591,-1.03214465408805,-0.969138364779874,-0.975383647798742
0-ppb,-0.978276729559748,-1.03100628930818,-0.986333333333333,-0.972786163522013,-0.978201257861635,-0.999276729559748,-1.00837106918239,-0.953710691823899,-0.981358490566038,-0.901893081761006,-0.895352201257862,-0.983817610062893,-0.964157232704403,-1.00011320754717,-0.924635220125786,-1.04884905660377,-0.987320754716981,-0.996559748427673,-0.971584905660377,-0.991754716981132
0-ppb,-0.982993710691824,-0.976270440251572,-0.944584905660377,-1.00983647798742,-1.0314465408805,-1.02071698113208,-0.963654088050314,-1.04259748427673,-0.973377358490566,-0.996345911949686,-1.01752830188679,-0.942352201257862,-0.974641509433962,-0.96262893081761,-1.02911949685535,-0.998880503144654,-1.02918867924528,-0.995823899371069,-0.980289308176101,-1.0092641509434
0-ppb,-0.982006289308176,-1.01491823899371,-0.993553459119497,-1.01408805031447,-0.981433962264151,-1.00182389937107,-0.967289308176101,-0.974603773584906,-0.973622641509434,-0.944106918238994,-0.973905660377358,-1.02052201257862,-0.984647798742138,-1.00358490566038,-0.975534591194969,-0.942981132075472,-0.915477987421384,-0.964157232704403,-1.03534591194969,-0.995823899371069
180-ppb,101.910790055249,99.9455621546961,101.321082872928,102.003779005525,101.687051104972,100.607799723757,102.228310773481,102.081464088398,102.205319060773,100.683261049724,98.5787831491713,102.775715469613,97.6901174033149,102.323160220994,100.97589640884,101.644022099448,101.23421961326,101.484125690608,102.026929558011,103.300186464088
180-ppb,101.153493093923,102.766266574586,101.250378453039,103.074435082873,98.902020718232,98.9118604972376,98.5356616022099,101.497085635359,101.853983425414,101.318930939227,102.546741712707,102.620200276243,103.856301104972,99.7013729281768,101.282660220994,99.3091671270718,102.55496961326,101.538870165746,104.456330110497,99.570770718232
180-ppb,100.768962707182,102.111124309392,101.339218232044,100.663763812155,99.6241643646409,102.442251381215,101.434694751381,100.113837016575,99.6953950276243,97.973044198895,100.502038674033,99.2312872928177,102.535505524862,101.526096685083,99.2948370165746,101.325392265193,102.983947513812,102.138892265193,100.862564917127,98.6613093922652
180-ppb,97.3208660220995,102.772888121547,101.303056629834,100.241430939227,101.385897790055,102.948657458564,101.933493093923,98.1654447513812,100.569837016575,100.70560359116,99.0408093922652,101.093755524862,102.598563535912,100.321689226519,98.8719875690608,100.728901933702,102.057448895028,102.887690607735,100.299040055249,103.678069060773
180-ppb,100.470886740331,101.099523480663,101.261372928177,100.915610497238,98.4167776243094,104.281106353591,101.17011878453,102.267929558011,101.317617403315,102.585379834254,102.716599447514,98.3775745856354,101.446410220994,102.221874309392,100.571649171271,99.9005027624309,98.7601464088398,99.7497140883978,102.414116022099,100.119682320442
