"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"o3","0-ppb","part_1",2,"1-10",5.16129032258059e-05,4.61238937409174e-05
"o3","0-ppb","part_1",2,"11-20",3.54838709677419e-05,2.38020899152459e-05
"o3","0-ppb","part_1",2,"21-30",5.16129032258058e-05,3.78641222831363e-05
"o3","0-ppb","part_10",11,"1-10",3.54838709677419e-05,3.86199677334795e-05
"o3","0-ppb","part_10",11,"11-20",3.87096774193548e-05,3.33159857738273e-05
"o3","0-ppb","part_10",11,"21-30",3.22580645161285e-05,5.48281668128243e-05
"o3","0-ppb","part_11",12,"1-10",2.58064516129032e-05,2.0401791355925e-05
"o3","0-ppb","part_11",12,"11-20",3.2258064516129e-05,2.63385993847654e-05
"o3","0-ppb","part_11",12,"21-30",2.25806451612903e-05,2.17725341196953e-05
"o3","0-ppb","part_12",13,"1-10",3.87096774193548e-05,3.33159857738273e-05
"o3","0-ppb","part_12",13,"11-20",5.48387096774194e-05,3.06026870338876e-05
"o3","0-ppb","part_12",13,"21-30",3.2258064516129e-05,3.0413194889744e-05
"o3","0-ppb","part_2",3,"1-10",3.22580645161284e-05,3.72484044638451e-05
"o3","0-ppb","part_2",3,"11-20",5.16129032258065e-05,2.72023884745667e-05
"o3","0-ppb","part_2",3,"21-30",3.87096774193543e-05,4.99739786607395e-05
"o3","0-ppb","part_3",4,"1-10",2.25806451612903e-05,2.65571807209214e-05
"o3","0-ppb","part_3",4,"11-20",2.25806451612903e-05,2.65571807209214e-05
"o3","0-ppb","part_3",4,"21-30",2.58064516129032e-05,2.0401791355925e-05
"o3","0-ppb","part_4",5,"1-10",4.19354838709677e-05,2.17725341196953e-05
"o3","0-ppb","part_4",5,"11-20",2.25806451612903e-05,2.65571807209214e-05
"o3","0-ppb","part_4",5,"21-30",3.87096774193548e-05,3.66223362708095e-05
"o3","0-ppb","part_5",6,"1-10",5.48387096774188e-05,4.57463384649076e-05
"o3","0-ppb","part_5",6,"11-20",2.90322580645155e-05,4.67463766006096e-05
"o3","0-ppb","part_5",6,"21-30",4.19354838709677e-05,2.65571807209215e-05
"o3","0-ppb","part_6",7,"1-10",3.2258064516129e-05,3.0413194889744e-05
"o3","0-ppb","part_6",7,"11-20",3.87096774193548e-05,2.54455044434392e-05
"o3","0-ppb","part_6",7,"21-30",2.90322580645161e-05,1.83111681354047e-05
"o3","0-ppb","part_7",8,"1-10",2.58064516129032e-05,1.36011942372833e-05
"o3","0-ppb","part_7",8,"11-20",2.25806451612903e-05,1.5582125533537e-05
"o3","0-ppb","part_7",8,"21-30",4.19354838709677e-05,3.06026870338876e-05
"o3","0-ppb","part_8",9,"1-10",4.51612903225807e-05,2.72023884745667e-05
"o3","0-ppb","part_8",9,"11-20",3.87096774193548e-05,3.33159857738273e-05
"o3","0-ppb","part_8",9,"21-30",3.54838709677413e-05,3.86199677334779e-05
"o3","0-ppb","part_9",10,"1-10",3.22580645161284e-05,4.02328751265999e-05
"o3","0-ppb","part_9",10,"11-20",2.25806451612903e-05,2.17725341196953e-05
"o3","0-ppb","part_9",10,"21-30",6.12903225806446e-05,4.67463766006099e-05
"o3","0-ppb","ref",1,"1-10",3.2258064516129e-05,2.1505376344086e-05
"o3","0-ppb","ref",1,"11-20",3.87096774193548e-05,2.9643115595893e-05
"o3","0-ppb","ref",1,"21-30",2.58064516129032e-05,2.54455044434392e-05
"o3","120-ppb","part_1",2,"1-10",120.054432056075,0.847360459101106
"o3","120-ppb","part_1",2,"11-20",120.215564392523,0.782289414988797
"o3","120-ppb","part_1",2,"21-30",119.884994641745,0.828357429104313
"o3","120-ppb","part_10",11,"1-10",119.769079293873,0.817176554108099
"o3","120-ppb","part_10",11,"11-20",119.901826002077,0.844561803275428
"o3","120-ppb","part_10",11,"21-30",120.055495555556,0.835424193109982
"o3","120-ppb","part_11",12,"1-10",120.077096168224,0.844630319388415
"o3","120-ppb","part_11",12,"11-20",119.743580436137,0.817219624916633
"o3","120-ppb","part_11",12,"21-30",119.569711661475,0.75328457711536
"o3","120-ppb","part_12",13,"1-10",119.754809387331,0.865443293185557
"o3","120-ppb","part_12",13,"11-20",119.544977840083,0.771713471038431
