"pollutant","level","replicate","participant_id","sample_id","value"
"co","0-ppm",1,"ref",1,0.102963302752294
"co","0-ppm",1,"ref",2,-0.0442264150943396
"co","0-ppm",1,"ref",3,0.0728807339449541
"co","0-ppm",1,"ref",4,-0.0524905660377359
"co","0-ppm",1,"ref",5,-0.0493018867924528
"co","0-ppm",1,"ref",6,0.149889908256881
"co","0-ppm",1,"ref",7,-0.0488679245283019
"co","0-ppm",1,"ref",8,0.143935779816514
"co","0-ppm",1,"ref",9,-0.0514905660377359
"co","0-ppm",1,"ref",10,-0.0513962264150943
"co","0-ppm",1,"ref",11,0.0749724770642202
"co","0-ppm",1,"ref",12,-0.048
"co","0-ppm",1,"ref",13,0.10345871559633
"co","0-ppm",1,"ref",14,0.087302752293578
"co","0-ppm",1,"ref",15,-0.0516415094339623
"co","0-ppm",1,"ref",16,-0.0512264150943396
"co","0-ppm",1,"ref",17,-0.0497735849056604
"co","0-ppm",1,"ref",18,-0.046622641509434
"co","0-ppm",1,"ref",19,0.0764587155963303
"co","0-ppm",1,"ref",20,0.0604954128440367
"co","0-ppm",1,"ref",21,-0.0494905660377358
"co","0-ppm",1,"ref",22,0.0778348623853211
"co","0-ppm",1,"ref",23,0.149889908256881
"co","0-ppm",1,"ref",24,-0.0528679245283019
"co","0-ppm",1,"ref",25,0.0546330275229358
"co","0-ppm",1,"ref",26,-0.0483396226415094
"co","0-ppm",1,"ref",27,-0.0491698113207547
"co","0-ppm",1,"ref",28,0.0546330275229358
"co","0-ppm",1,"ref",29,0.0644128440366972
"co","0-ppm",1,"ref",30,-0.0504905660377358
"co","0-ppm",2,"part_1",1,0.100183486238532
"co","0-ppm",2,"part_1",2,-0.049
"co","0-ppm",2,"part_1",3,-0.0473018867924528
"co","0-ppm",2,"part_1",4,0.115495412844037
"co","0-ppm",2,"part_1",5,0.106633027522936
"co","0-ppm",2,"part_1",6,-0.0472075471698113
"co","0-ppm",2,"part_1",7,0.0766330275229358
"co","0-ppm",2,"part_1",8,-0.0512264150943396
"co","0-ppm",2,"part_1",9,0.0369449541284404
"co","0-ppm",2,"part_1",10,-0.0512264150943396
"co","0-ppm",2,"part_1",11,0.079954128440367
"co","0-ppm",2,"part_1",12,-0.0513962264150943
"co","0-ppm",2,"part_1",13,0.0539266055045872
"co","0-ppm",2,"part_1",14,-0.049377358490566
"co","0-ppm",2,"part_1",15,0.116348623853211
"co","0-ppm",2,"part_1",16,0.0644128440366972
"co","0-ppm",2,"part_1",17,-0.049811320754717
"co","0-ppm",2,"part_1",18,-0.0495471698113208
"co","0-ppm",2,"part_1",19,0.143935779816514
"co","0-ppm",2,"part_1",20,0.115495412844037
"co","0-ppm",2,"part_1",21,-0.0501320754716981
"co","0-ppm",2,"part_1",22,-0.0493207547169811
"co","0-ppm",2,"part_1",23,0.128128440366972
"co","0-ppm",2,"part_1",24,-0.0483396226415094
"co","0-ppm",2,"part_1",25,-0.052188679245283
"co","0-ppm",2,"part_1",26,0.0728807339449541
"co","0-ppm",2,"part_1",27,0.143045871559633
"co","0-ppm",2,"part_1",28,0.149889908256881
"co","0-ppm",2,"part_1",29,-0.0472075471698113
"co","0-ppm",2,"part_1",30,-0.0487735849056604
"co","0-ppm",3,"part_2",1,0.0369449541284404
"co","0-ppm",3,"part_2",2,0.0337155963302752
"co","0-ppm",3,"part_2",3,0.0574770642201835
"co","0-ppm",3,"part_2",4,-0.0522264150943396
"co","0-ppm",3,"part_2",5,0.143880733944954
"co","0-ppm",3,"part_2",6,-0.0494150943396226
"co","0-ppm",3,"part_2",7,0.126761467889908
"co","0-ppm",3,"part_2",8,0.139183486238532
"co","0-ppm",3,"part_2",9,0.0749724770642202
"co","0-ppm",3,"part_2",10,0.0892752293577982
"co","0-ppm",3,"part_2",11,0.092394495412844
"co","0-ppm",3,"part_2",12,0.143935779816514
"co","0-ppm",3,"part_2",13,-0.0483396226415094
"co","0-ppm",3,"part_2",14,0.0493394495412844
"co","0-ppm",3,"part_2",15,0.087302752293578
"co","0-ppm",3,"part_2",16,-0.0501320754716981
"co","0-ppm",3,"part_2",17,-0.0498867924528302
"co","0-ppm",3,"part_2",18,0.0784862385321101
"co","0-ppm",3,"part_2",19,0.12397247706422
"co","0-ppm",3,"part_2",20,-0.049377358490566
"co","0-ppm",3,"part_2",21,-0.0493207547169811
"co","0-ppm",3,"part_2",22,0.0337155963302752
"co","0-ppm",3,"part_2",23,-0.0487735849056604
"co","0-ppm",3,"part_2",24,0.0700550458715596
"co","0-ppm",3,"part_2",25,-0.0515283018867925
"co","0-ppm",3,"part_2",26,0.0546330275229358
"co","0-ppm",3,"part_2",27,-0.0514339622641509
"co","0-ppm",3,"part_2",28,-0.0523396226415094
"co","0-ppm",3,"part_2",29,-0.0513962264150943
"co","0-ppm",3,"part_2",30,0.127467889908257
"co","0-ppm",4,"part_3",1,-0.0498867924528302
"co","0-ppm",4,"part_3",2,0.033697247706422
"co","0-ppm",4,"part_3",3,-0.0504150943396226
"co","0-ppm",4,"part_3",4,0.0644128440366972
"co","0-ppm",4,"part_3",5,-0.0529245283018868
"co","0-ppm",4,"part_3",6,-0.0477735849056604
"co","0-ppm",4,"part_3",7,0.055045871559633
"co","0-ppm",4,"part_3",8,-0.046622641509434
"co","0-ppm",4,"part_3",9,-0.0522264150943396
"co","0-ppm",4,"part_3",10,0.0418715596330275
"co","0-ppm",4,"part_3",11,-0.0516792452830189
"co","0-ppm",4,"part_3",12,0.067954128440367
"co","0-ppm",4,"part_3",13,-0.0504339622641509
"co","0-ppm",4,"part_3",14,0.0493394495412844
