"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","no","82-ppb","part_1",2,"1-10",25.7022307692308,0.119134586999479,7
"2","no","82-ppb","part_1",2,"11-20",25.6648351648352,0.140227282095561,7
"3","no","82-ppb","part_1",2,"21-30",25.6735384615385,0.118748814072818,7
"4","no","82-ppb","part_2",3,"1-10",25.7002417582418,0.1369060034001,7
"5","no","82-ppb","part_2",3,"11-20",25.6805494505494,0.145650615835368,7
"6","no","82-ppb","part_2",3,"21-30",25.7461098901099,0.0972397734218489,7
"7","no","82-ppb","part_3",4,"1-10",25.6696703296703,0.113270225438128,7
"8","no","82-ppb","part_3",4,"11-20",25.6678021978022,0.117750726823373,7
"9","no","82-ppb","part_3",4,"21-30",25.6844395604396,0.09833123300231,7
"10","no","82-ppb","part_4",5,"1-10",25.6996593406593,0.110847955555783,7
"11","no","82-ppb","part_4",5,"11-20",25.6855714285714,0.0826285626792927,7
"12","no","82-ppb","part_4",5,"21-30",25.691043956044,0.111131042839177,7
"13","no","82-ppb","part_5",6,"1-10",25.7482417582417,0.0990760086760356,7
"14","no","82-ppb","part_5",6,"11-20",25.6735714285714,0.100772223309589,7
"15","no","82-ppb","part_5",6,"21-30",25.7184285714286,0.102144235439684,7
"16","no","82-ppb","part_6",7,"1-10",25.7497582417583,0.103434581817964,7
"17","no","82-ppb","part_6",7,"11-20",25.7033846153846,0.102993681746909,7
"18","no","82-ppb","part_6",7,"21-30",25.6405934065934,0.124077902328792,7
"19","no","82-ppb","ref",1,"1-10",25.6815714285714,0.0947491400264441,7
"20","no","82-ppb","ref",1,"11-20",25.6803076923077,0.1229637627353,7
"21","no","82-ppb","ref",1,"21-30",25.7220989010989,0.0659198285401677,7
