"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","co","0-ppm","part_1",2,"1-10",-0.0270763548775592,0.027750953315673,7
"2","co","0-ppm","part_1",2,"11-20",-0.027845885186672,0.0280024288695391,7
"3","co","0-ppm","part_1",2,"21-30",-0.017858972300281,0.0288729222922527,7
"4","co","0-ppm","part_2",3,"1-10",-0.00593661180248896,0.0217136430820785,7
"5","co","0-ppm","part_2",3,"11-20",-0.0173497792051385,0.028246305442745,7
"6","co","0-ppm","part_2",3,"21-30",-0.0166428342031313,0.0278679850398818,7
"7","co","0-ppm","part_3",4,"1-10",-0.0337196306704135,0.026713575839274,7
"8","co","0-ppm","part_3",4,"11-20",-0.0336146126053794,0.0271539660635826,7
"9","co","0-ppm","part_3",4,"21-30",-0.0115292252107587,0.0262108280901327,7
"10","co","0-ppm","part_4",5,"1-10",-0.0231663588920112,0.0277457858845428,7
"11","co","0-ppm","part_4",5,"11-20",-0.0331100762745885,0.0261778835351292,7
"12","co","0-ppm","part_4",5,"21-30",-0.0277425933360096,0.0289381955575649,7
"13","co","0-ppm","part_5",6,"1-10",-0.0117865114411883,0.0250245841047785,7
"14","co","0-ppm","part_5",6,"11-20",-0.0284058610999599,0.0281710993890202,7
"15","co","0-ppm","part_5",6,"21-30",-0.0111126856684063,0.0257952867943802,7
"16","co","0-ppm","part_6",7,"1-10",-0.0225677639502208,0.0283767586549868,7
"17","co","0-ppm","part_6",7,"11-20",-0.0224643115214773,0.0292502430589468,7
"18","co","0-ppm","part_6",7,"21-30",-0.0231754716981132,0.0284581040861383,7
"19","co","0-ppm","ref",1,"1-10",-0.0335158570855078,0.0261226873540159,7
"20","co","0-ppm","ref",1,"11-20",-0.0271546366920915,0.0282230868851149,7
"21","co","0-ppm","ref",1,"21-30",-0.0225115616218386,0.0288102693677314,7
