"Item","sample_id","sample_1","sample_2","average","range"
1,1,0.0499633027522936,-0.0501320754716981,0.333277075760198,1.0501320754717
2,2,0.152247706422018,0.152247706422018,0.768165137614679,1.84775229357798
3,3,-0.0516415094339623,-0.0525471698113208,0.965270440251572,3.05254716981132
4,4,-0.0503584905660377,0.109229357798165,1.35295695574404,4.05035849056604
5,5,0.0265871559633028,0.0297522935779817,1.68544648318043,4.9734128440367
6,6,-0.0493018867924528,0.0760642201834862,2.00892077779701,6.04930188679245
7,7,-0.0516603773584906,0.115495412844037,2.35461167849518,7.05166037735849
8,8,0.030394495412844,0.12397247706422,2.71812232415902,7.96960550458716
9,9,-0.0514905660377359,-0.0495849056603774,2.96630817610063,9.05149056603774
10,10,-0.0494905660377358,-0.051,3.29983647798742,10.051
