"pollutant","n_lab","level","combination","combination_label","participant_mean","value_1","value_2","value_3","participant_sd","sigma_pt","u(x_pt)","ref_value","z_score","z_score_eval","z_prime","z_prime Eval","zeta_score","zeta_score_eval","En_score","En_score_eval"
"co",7,"0-ppm","Referencia (1)","1",-0.0280063428342031,-0.0231663588920112,-0.0331100762745885,-0.0277425933360096,0.00497710274100209,0.0411843566840626,0.0162795463863022,-0.0277273517998126,-0.0067741991584496,"Satisfactory",-0.00629987725240107,"Satisfactory",-0.00870181985075865,"Satisfactory",-0.00435090992537933,"Satisfactory"
"co",7,"0-ppm","Consenso MADe (2a)","2a",-0.0280063428342031,-0.0231663588920112,-0.0331100762745885,-0.0277425933360096,0.00497710274100209,0.00541140210758731,0.00276149457429383,-0.0234981265890539,-0.833095777308477,"Satisfactory",-0.742058022281125,"Satisfactory",-0.162409521654917,"Satisfactory",-0.0812047608274583,"Satisfactory"
"co",7,"0-ppm","Consenso nIQR (2b)","2b",-0.0280063428342031,-0.0231663588920112,-0.0331100762745885,-0.0277425933360096,0.00497710274100209,0.00538980055198714,0.00275047107661242,-0.0234981265890539,-0.836434706936803,"Satisfactory",-0.745032085508928,"Satisfactory",-0.16241592558513,"Satisfactory",-0.0812079627925652,"Satisfactory"
"co",7,"0-ppm","Algoritmo A (3)","3",-0.0280063428342031,-0.0231663588920112,-0.0331100762745885,-0.0277425933360096,0.00497710274100209,0.00481382858428404,0.00245654661265005,-0.0225104245821275,-1.1416938006514,"Satisfactory",-1.01693354694354,"Satisfactory",-0.19819646861899,"Satisfactory",-0.0990982343094951,"Satisfactory"
"co",7,"2-ppm","Referencia (1)","1",2.01333242352604,2.01260627552117,2.01468175370729,2.01270924134967,0.00116968775490582,0.00531001966473315,0.00209896957010505,2.01493451536643,-0.301711093657612,"Satisfactory",-0.280585617764102,"Satisfactory",-0.289463645828088,"Satisfactory",-0.144731822914044,"Satisfactory"
"co",7,"2-ppm","Consenso MADe (2a)","2a",2.01333242352604,2.01260627552117,2.01468175370729,2.01270924134967,0.00116968775490582,0.00117044810874731,0.000597291799340941,2.01353248083674,-0.170923690849437,"Satisfactory",-0.152245755467033,"Satisfactory",-0.0388012011323116,"Satisfactory",-0.0194006005661558,"Satisfactory"
"co",7,"2-ppm","Consenso nIQR (2b)","2b",2.01333242352604,2.01260627552117,2.01468175370729,2.01270924134967,0.00116968775490582,0.000951750550719881,0.000485688169099289,2.01353248083674,-0.210199311724607,"Satisfactory",-0.187229475639821,"Satisfactory",-0.0388897084952908,"Satisfactory",-0.0194448542476454,"Satisfactory"
"co",7,"2-ppm","Algoritmo A (3)","3",2.01333242352604,2.01260627552117,2.01468175370729,2.01270924134967,0.00116968775490582,0.000829189000626165,0.000423143739971339,2.01349998925425,-0.202083877229166,"Satisfactory",-0.180000867074435,"Satisfactory",-0.032608617903113,"Satisfactory",-0.0163043089515565,"Satisfactory"
"co",7,"4-ppm","Referencia (1)","1",4.0238732034632,4.02109545454546,4.02740413419913,4.02312002164502,0.00322107464700666,0.0112033909090901,0.00442852909874365,4.02175396825397,0.189160159315429,"Satisfactory",0.175915374918586,"Satisfactory",0.159295238782966,"Satisfactory",0.0796476193914829,"Satisfactory"
"co",7,"4-ppm","Consenso MADe (2a)","2a",4.0238732034632,4.02109545454546,4.02740413419913,4.02312002164502,0.00322107464700666,0.00209748201298609,0.00107036680760034,4.02310047979798,0.368405383426432,"Satisfactory",0.328147348323327,"Satisfactory",0.0613726281186501,"Satisfactory",0.030686314059325,"Satisfactory"
"co",7,"4-ppm","Consenso nIQR (2b)","2b",4.0238732034632,4.02109545454546,4.02740413419913,4.02312002164502,0.00322107464700666,0.00185909723106044,0.000948716582983155,4.02310047979798,0.415644567865566,"Satisfactory",0.370224402047363,"Satisfactory",0.0614202293239144,"Satisfactory",0.0307101146619572,"Satisfactory"
"co",7,"4-ppm","Algoritmo A (3)","3",4.0238732034632,4.02109545454546,4.02740413419913,4.02312002164502,0.00322107464700666,0.00152002702793124,0.000775685544514744,4.02326412698412,0.400701084839916,"Satisfactory",0.356913889904533,"Satisfactory",0.0484583678275655,"Satisfactory",0.0242291839137827,"Satisfactory"
"co",7,"6-ppm","Referencia (1)","1",6.06806518883416,6.06892323481117,6.06560041050903,6.06967192118227,0.00216713681261188,0.00600870689654901,0.00237514994818207,6.06690276409414,0.193456722058451,"Satisfactory",0.179911097107314,"Satisfactory",0.0868187753259703,"Satisfactory",0.0434093876629851,"Satisfactory"
"co",7,"6-ppm","Consenso MADe (2a)","2a",6.06806518883416,6.06892323481117,6.06560041050903,6.06967192118227,0.00216713681261188,0.00104542571154791,0.000533491574433002,6.0704822044335,-2.31199172991648,"Questionable",-2.05934546466544,"Questionable",-0.183280299615818,"Satisfactory",-0.0916401498079088,"Satisfactory"
"co",7,"6-ppm","Consenso nIQR (2b)","2b",6.06806518883416,6.06892323481117,6.06560041050903,6.06967192118227,0.00216713681261188,0.000811532291666393,0.000414133338411282,6.0704822044335,-2.97833570415016,"Questionable",-2.65287373013845,"Questionable",-0.183339928848434,"Satisfactory",-0.0916699644242169,"Satisfactory"
"co",7,"6-ppm","Algoritmo A (3)","3",6.06806518883416,6.06892323481117,6.06560041050903,6.06967192118227,0.00216713681261188,0.00113403746947953,0.00057871107279623,6.07059841983812,-2.23381596475942,"Questionable",-1.98971247016127,"Satisfactory",-0.192065048328651,"Satisfactory",-0.0960325241643257,"Satisfactory"
"co",7,"8-ppm","Referencia (1)","1",8.0424066211992,8.0277844629156,8.0490868286445,8.05034857203751,0.0126788656334279,0.0188282843137222,0.0074425328580728,8.04595794970162,-0.1886166813311,"Satisfactory",-0.175409950659486,"Satisfactory",-0.0582490974898612,"Satisfactory",-0.0291245487449306,"Satisfactory"
"co",7,"8-ppm","Consenso MADe (2a)","2a",8.0424066211992,8.0277844629156,8.0490868286445,8.05034857203751,0.0126788656334279,0.00387971595623599,0.00197985925827339,8.04908909846547,-1.72241404825774,"Satisfactory",-1.53419474328472,"Satisfactory",-0.110373228438861,"Satisfactory",-0.0551866142194304,"Satisfactory"
"co",7,"8-ppm","Consenso nIQR (2b)","2b",8.0424066211992,8.0277844629156,8.0490868286445,8.05034857203751,0.0126788656334279,0.00427326982576802,0.00218069387632576,8.04908909846547,-1.5637854707828,"Satisfactory",-1.39290053476212,"Satisfactory",-0.110360650726203,"Satisfactory",-0.0551803253631013,"Satisfactory"
"co",7,"8-ppm","Algoritmo A (3)","3",8.0424066211992,8.0277844629156,8.0490868286445,8.05034857203751,0.0126788656334279,0.00427937713352142,0.00218381049876283,8.04876014312526,-1.48468380509931,"Satisfactory",-1.32244281886075,"Satisfactory",-0.104927781351698,"Satisfactory",-0.0524638906758489,"Satisfactory"
"no",7,"0-ppb","Referencia (1)","1",0.529445707070707,0.516816414141414,0.535098232323232,0.536422474747475,0.010957311915792,0.0689669898989891,0.027261596430829,0.628721212121212,-1.4394640855851,"Satisfactory",-1.33867440804639,"Satisfactory",-0.856114749689066,"Satisfactory",-0.428057374844533,"Satisfactory"
"no",7,"0-ppb","Consenso MADe (2a)","2a",0.529445707070707,0.516816414141414,0.535098232323232,0.536422474747475,0.010957311915792,0.0144055723905726,0.00735131287700585,0.560525883838384,-2.15751071356363,"Questionable",-1.92174558647961,"Satisfactory",-0.27516772837264,"Satisfactory",-0.13758386418632,"Satisfactory"
"no",7,"0-ppb","Consenso nIQR (2b)","2b",0.529445707070707,0.516816414141414,0.535098232323232,0.536422474747475,0.010957311915792,0.0115934671275254,0.00591626641920156,0.560525883838384,-2.68083537269759,"Questionable",-2.38788318091384,"Questionable",-0.275373288856743,"Satisfactory",-0.137686644428371,"Satisfactory"
"no",7,"0-ppb","Algoritmo A (3)","3",0.529445707070707,0.516816414141414,0.535098232323232,0.536422474747475,0.010957311915792,0.0136436098828796,0.00696247551305181,0.561206191328775,-2.32786517136656,"Questionable",-2.07348431267076,"Questionable",-0.281252174208809,"Satisfactory",-0.140626087104404,"Satisfactory"
"no",7,"121-ppb","Referencia (1)","1",120.365625823452,120.39814229249,120.339881422925,120.358853754941,0.0297149442966912,0.0424970355727925,0.0167984282769028,120.321291172596,1.04324102278588,"Satisfactory",0.970194444316365,"Satisfactory",0.539206357001766,"Satisfactory",0.269603178500883,"Satisfactory"
"no",7,"121-ppb","Consenso MADe (2a)","2a",120.365625823452,120.39814229249,120.339881422925,120.358853754941,0.0297149442966912,0.00883156785257141,0.00450684059740986,120.352055335968,1.53658871337446,"Satisfactory",1.36867574264987,"Satisfactory",0.168339446332384,"Satisfactory",0.0841697231661918,"Satisfactory"
"no",7,"121-ppb","Consenso nIQR (2b)","2b",120.365625823452,120.39814229249,120.339881422925,120.358853754941,0.0297149442966912,0.00703697826104088,0.00359104293137663,120.352055335968,1.92845380222259,"Satisfactory",1.71771920290016,"Satisfactory",0.168435580937622,"Satisfactory",0.0842177904688112,"Satisfactory"
"no",7,"121-ppb","Algoritmo A (3)","3",120.365625823452,120.39814229249,120.339881422925,120.358853754941,0.0297149442966912,0.0069653769308586,0.00355450403057431,120.351866763295,1.97535040727138,"Satisfactory",1.75949111309593,"Satisfactory",0.170779561376273,"Satisfactory",0.0853897806881366,"Satisfactory"
"no",7,"122-ppb","Referencia (1)","1",40.7278759689922,40.7277441860465,40.7320348837209,40.7238488372093,0.00409461407596558,0.0335399418605152,0.0132578261086067,40.7414302325581,-0.404123048938565,"Satisfactory",-0.375826801608489,"Satisfactory",-0.286557302435503,"Satisfactory",-0.143278651217751,"Satisfactory"
"no",7,"122-ppb","Consenso MADe (2a)","2a",40.7278759689922,40.7277441860465,40.7320348837209,40.7238488372093,0.00409461407596558,0.00529683914729712,0.00270303190843265,40.7301860465116,-0.436123781583961,"Satisfactory",-0.388465719844991,"Satisfactory",-0.0507879813533204,"Satisfactory",-0.0253939906766602,"Satisfactory"
"no",7,"122-ppb","Consenso nIQR (2b)","2b",40.7278759689922,40.7277441860465,40.7320348837209,40.7238488372093,0.00409461407596558,0.00442265901163324,0.00225692872600484,40.7301860465116,-0.522327747467038,"Satisfactory",-0.465249621742382,"Satisfactory",-0.0508151621281544,"Satisfactory",-0.0254075810640772,"Satisfactory"
"no",7,"122-ppb","Algoritmo A (3)","3",40.7278759689922,40.7277441860465,40.7320348837209,40.7238488372093,0.00409461407596558,0.00559094854494489,0.00285311898193147,40.730258843351,-0.42620216222376,"Satisfactory",-0.379628299897859,"Satisfactory",-0.0523778940296692,"Satisfactory",-0.0261889470148346,"Satisfactory"
"no",7,"180-ppb","Referencia (1)","1",182.19837917125,182.197922992299,182.181745874587,182.215468646865,0.0168660136652127,0.121111666667168,0.047873589735918,182.289934360102,-0.755956807229855,"Satisfactory",-0.703025550662298,"Satisfactory",-0.360776531284555,"Satisfactory",-0.180388265642278,"Satisfactory"
"no",7,"180-ppb","Consenso MADe (2a)","2a",182.19837917125,182.197922992299,182.181745874587,182.215468646865,0.0168660136652127,0.0399607863951243,0.0203924034142513,182.195944444444,0.0609279002151538,"Satisfactory",0.0542699151368496,"Satisfactory",0.00973699984271856,"Satisfactory",0.00486849992135928,"Satisfactory"
"no",7,"180-ppb","Consenso nIQR (2b)","2b",182.19837917125,182.197922992299,182.181745874587,182.215468646865,0.0168660136652127,0.0443269944446143,0.0226205246292687,182.195944444444,0.0549265032855622,"Satisfactory",0.0489243296017932,"Satisfactory",0.0097295459365234,"Satisfactory",0.0048647729682617,"Satisfactory"
"no",7,"180-ppb","Algoritmo A (3)","3",182.19837917125,182.197922992299,182.181745874587,182.215468646865,0.0168660136652127,0.0443575283849657,0.0226361064154557,182.209426277425,-0.249046927928381,"Satisfactory",-0.221831961975357,"Satisfactory",-0.0441457010858078,"Satisfactory",-0.0220728505429039,"Satisfactory"
